rowid,publication_year,author_keywords
20,2023,debriefing
20,2023,child and adolescent psychiatry
21,2023,oral health
21,2023,sociodemographic
21,2023,lifestyle
21,2023,dental caries
21,2023,periodontitis
21,2023,EHIS
21,2023,gingival bleeding
21,2023,missing teeth
22,2023,Lysophosphatidylcholine
22,2023,autotaxin
22,2023,lysophosphatidic acid
22,2023,lysophosphatidic acid receptor 5
22,2023,endothelial dysfunction
22,2023,reactive oxygen species
23,2023,Emergency reaction questionnaire
23,2023,Disasters
23,2023,Fear
23,2023,Portugal
23,2023,Validation
24,2023,magnetic nanoparticles
24,2023,amine-functionalized magnesium ferrite
24,2023,fast microwave synthesis
24,2023,DNA binding
25,2023,biodiversity
25,2023,community assembly
25,2023,limnology
25,2023,Rao's diversity
25,2023,zooplankton
26,2023,Iguanodontia
26,2023,Late Cretaceous European Archipelago
26,2023,palaeobiogeography
26,2023,palaeoecology
26,2023,Rhabdodontidae
26,2023,taxonomy
27,2023,Building related symptoms
27,2023,Sick building syndrome
27,2023,Modern health worries
27,2023,Somatosensory amplification
28,2023,Vortex-induced vibration
28,2023,In-line motion
28,2023,Reduced-order model
28,2023,Morison's equation
28,2023,Wake oscillator
28,2023,Van der Pol equation
29,2023,adult brain injury
29,2023,biomarkers
29,2023,CT scanning
29,2023,prospective study
29,2023,traumatic brain injury
30,2023,Microglia
30,2023,Aging
30,2023,Galectin-1
30,2023,Neuroinflammation
31,2023,excitatory system
31,2023,epilepsy
31,2023,human neocortex
31,2023,single unit activity
31,2023,synchronous population activity
31,2023,synaptic reorganization
32,2023,Categorical variables
32,2023,MC simulation
32,2023,Union intersection principle
32,2023,Redundant test
32,2023,Graphical model
33,2023,pleural mesothelioma
33,2023,pleural mesothelial cells
33,2023,mesothelioma-associated fibroblasts
33,2023,tumor microenvironment
33,2023,conditioned medium
33,2023,human telomerase reverse transcriptase
33,2023,hTERT
34,2023,CboK
34,2023,scorpion toxin
34,2023,Centruroides bonito
34,2023,Kv1.2
34,2023,Kv1.3
34,2023,Kv1.2 channelopathies
34,2023,electrophysiology
35,2023,adipose-derived mesenchymal stem cells
35,2023,lipopolysaccharide
35,2023,tumor necrosis factor & alpha
35,2023,
35,2023,inflammation
35,2023,regenerative medicine
36,2023,CMS
36,2023,Diboson resonances
36,2023,Substructure
37,2023,Key words and phrases
37,2023,multiplicative decompositions
37,2023,shifted product of sets of integers
37,2023,restricted prime factors
37,2023,unit equations
38,2023,ethnic discrimination
38,2023,rental housing market
38,2023,anti-Gypsyism
38,2023,social intervention
38,2023,focus group
38,2023,Hungary
38,2023,Roma people
39,2023,Implants
39,2023,Flaps
39,2023,Wound healing
39,2023,Blood vessels
39,2023,Complications
40,2023,AT
40,2023,RT
40,2023,Rhabdoid tumor
40,2023,Pediatric cancer
40,2023,Recurrent tumor
40,2023,DNA methylation
40,2023,RNA sequencing
41,2023,Branching fraction
41,2023,Hadron-Hadron Scattering
42,2023,Measurement
42,2023,Machining
42,2023,Optimization
43,2023,neuroticism
43,2023,mental health
43,2023,cardiovascular magnetic resonance
43,2023,cardiac morphology
43,2023,cardiac function
43,2023,cardiovascular remodelling
44,2023,methods: data analysis
44,2023,techniques: photometric
44,2023,planets and satellites: general
45,2023,MULTIPLE SCLEROSIS
45,2023,STATISTICS
46,2023,Hornworts
46,2023,liverworts
46,2023,mosses
46,2023,rarity
46,2023,counties
46,2023,>
47,2023,CP Violation
47,2023,Hadron-Hadron Scattering
47,2023,Top Physics
48,2023,cross-subgroup communication
48,2023,diversity faultlines
48,2023,escape room
48,2023,familiarity
48,2023,problem-solving
48,2023,teams
49,2023,hypoxemia
49,2023,cardiovascular risk
49,2023,inflammation
49,2023,burden
50,2023,healthcare
50,2023,doctors
50,2023,payment
50,2023,income
50,2023,public hospitals
50,2023,type of institution
51,2023,heavy ions
51,2023,quark-gluon plasma
51,2023,femtoscopy
51,2023,Levy HBT
52,2023,floriphagous
52,2023,floriphilic
52,2023,orthoptera
52,2023,pollination
52,2023,volatile traps
53,2023,ageing
53,2023,autophagy
53,2023,Drosophila
53,2023,neurodegeneration
53,2023,Parkinson's disease
53,2023,Rab2
53,2023,Rab7
53,2023,Arl8
54,2023,Al-Zn alloys
54,2023,Grain boundaries
54,2023,Ultrafine grains
54,2023,Decomposition
54,2023,Hardness
54,2023,Activation energy
55,2023,Basic life support (BLS)
55,2023,Cardiopulmonary resuscitation (CPR)
55,2023,Peer-education
55,2023,Programme effectiveness
55,2023,Reliability
55,2023,Validity
56,2023,B Physics
56,2023,Beyond Standard Model
56,2023,Hadron-Hadron Scattering
56,2023,Rare Decay
57,2023,Wide QRS complex tachycardia
57,2023,Pre-excited tachycardia
57,2023,Ventricular tachycardia
57,2023,Electrocardiography
58,2023,planets and satellites: detection
58,2023,planets and satellites: individual: TOI-5678
58,2023,planets and satellites: gaseous planets
58,2023,methods: data analysis
59,2023,Facebook
59,2023,advertising
59,2023,stealth media
59,2023,illiberal democracy
59,2023,normalization
60,2023,Curves
60,2023,Tangencies
60,2023,x-monotone
60,2023,t-intersecting
60,2023,0-1 matrices
61,2023,cell-penetrating peptide
61,2023,cyclic peptide
61,2023,transport molecule
61,2023,enhancing internalization
62,2023,Segmentectomy
62,2023,Sublobar resection
62,2023,Non-small-cell lung cancer
62,2023,Operative technique
62,2023,Quality
62,2023,Guidelines
63,2023,liver cirrhosis
63,2023,COVID-19
63,2023,hypocalcemia
63,2023,severity
63,2023,mortality
64,2023,chronic kidney disease
64,2023,IgA nephropathy
64,2023,renal function
64,2023,heart failure
64,2023,arterial stiffness
65,2023,intrinsically disordered proteins
65,2023,NMR spectroscopy
65,2023,proline
65,2023,cis
65,2023,trans isomerization
65,2023,statistical analysis
66,2023,transfer effects of music learning
66,2023,neurological background of music learning
66,2023,music education
67,2023,Dwelling
67,2023,Energy-efficient building
67,2023,Indoor air quality
67,2023,Passive house
67,2023,Seasonal variation
68,2023,myocardial injury
68,2023,inflammation
68,2023,paclitaxel
68,2023,isoproterenol
68,2023,cardioprotection
69,2023,coal spontaneous combustion
69,2023,air supply volume
69,2023,heating rate
69,2023,oxygen volume fraction
69,2023,numerical simulation
70,2023,Summer camp
70,2023,Therapeutic recreation
70,2023,Life skills
70,2023,Young adults
70,2023,Serious childhood illness
70,2023,Basic needs theory
71,2023,ubiquinol
71,2023,oxygen oxidoreductase encoding gene
71,2023,Aspergillus niger sensu stricto complex
71,2023,alleles
71,2023,chromosomal deletion
71,2023,retrotransposon insertion
71,2023,point mutation
71,2023,frameshift mutation
71,2023,nonsense mutation
71,2023,molecular taxonomy
72,2023,dermatomyositis
72,2023,inflammatory myopathies
72,2023,itch
72,2023,pruritus
72,2023,TRP channels
72,2023,TNF-alpha
72,2023,IL-6
73,2023,micropulse cyclophotocoagulation
73,2023,secondary glaucoma
73,2023,silicon oil
74,2023,PRRS
74,2023,eradication program
74,2023,production parameters
75,2023,Central and Eastern Europe
75,2023,diabetic foot ulcer
75,2023,topical oxygen therapy
75,2023,treatment algorithm
75,2023,wound
75,2023,wound care
75,2023,wound dressing
75,2023,wound healing
76,2023,Separating sets
76,2023,Elementary symmetric polynomials
76,2023,Finite fields
77,2023,survival
77,2023,risk factors
77,2023,prognostic factors
77,2023,head and neck cancer
77,2023,young adults
78,2023,intersectionality
78,2023,minority entrepreneurship
78,2023,disability
78,2023,identity work
78,2023,qualitative method
79,2023,Single rinse
79,2023,Mouthwash
79,2023,Hyper -pure chlorine dioxide
79,2023,Chlorhexidine
79,2023,Listerine
79,2023,Salivary bacteria
79,2023,Streptococcus mutans
80,2023,Family history
80,2023,prostate cancer
80,2023,radical prostatectomy
80,2023,prostate
80,2023,biochemical recurrence
81,2023,gold
81,2023,granite
81,2023,island arc association
81,2023,Pan-African Orogeny
81,2023,Egypt
82,2023,sense of place (SOP)
82,2023,quality of life (QOL)
82,2023,place attitudes
82,2023,immigrant Iranian citizens
82,2023,COVID-19
82,2023,Budapest
82,2023,PLS method
83,2023,delayed ejaculation
83,2023,inhibited ejaculation
83,2023,sexual dysfunction
83,2023,erectile dysfunction
83,2023,relationship satisfaction
83,2023,partnered sex
83,2023,masturbation
84,2023,Entisols
84,2023,GLM
84,2023,ML-algorithms
84,2023,soil properties
84,2023,Syria
85,2023,Lake Heviz
85,2023,Plaque psoriasis
85,2023,Balneotherapy
85,2023,Microbiome
85,2023,Sequencing
86,2023,newborn
86,2023,resuscitation
86,2023,guidelines
86,2023,delivery room neonatal care
87,2023,filled pause positions
87,2023,functions
87,2023,spontaneous speech planning
87,2023,durations
87,2023,silent pauses
87,2023,content words
87,2023,function words
88,2023,primary aldosteronism
88,2023,adrenocortical adenoma
88,2023,hyperplasia
88,2023,genetics
88,2023,sporadic mutations
89,2023,Transbronchial
89,2023,Cryoablation
89,2023,Lung
89,2023,Dual-freeze protocol
89,2023,Triple-freeze protocol
90,2023,Galaxy: abundances
90,2023,Galaxy: evolution
90,2023,Galaxy: formation
90,2023,Galaxy: general
90,2023,Galaxy: halo
90,2023,Galaxy: kinematics and dynamics
91,2023,granzyme B
91,2023,Lynch syndrome
91,2023,immunotherapy
91,2023,microsatellite instability
91,2023,colorectal cancer
91,2023,mismatch repair deficiency
91,2023,cancer neoantigens
91,2023,immune infiltration
92,2023,Isoflurane anesthesia
92,2023,Ketone supplement
92,2023,Ketosis
92,2023,Glucose
92,2023,Recovery time
92,2023,WAG
92,2023,Rij rat
93,2023,Hydrogen sulfide
93,2023,Reactive sulfur species
93,2023,Metalloprotein
93,2023,Heme
93,2023,Oxidative stress
94,2023,Staphylococcus aureus carriage
94,2023,MRSA carriage
94,2023,mecC
94,2023,whole-genome sequencing
94,2023,horse
94,2023,veterinarian
95,2023,antibody
95,2023,COVID-19
95,2023,COVID-vaccine
95,2023,immunity
95,2023,Pfizer-BioNtech
95,2023,spike protein
95,2023,humoral immune response
96,2023,liquid biopsy
96,2023,small extracellular vesicles
96,2023,matrix metalloproteinase-9
96,2023,central nervous system diseases
96,2023,brain tumour
96,2023,prognostic marker
96,2023,survival
96,2023,glioblastoma
97,2023,replacement of esophagus
97,2023,complications
97,2023,anastomotic insufficiency
97,2023,dysphagia
98,2023,alcohol
98,2023,centrally projecting Edinger-Westphal nucleus
98,2023,transient receptor potential ankyrin 1
98,2023,urocortin 1
98,2023,cocaine-and amphetamine-regulated transcript
98,2023,JT010
99,2023,Investors sentiments
99,2023,stock returns
99,2023,COVID-19
99,2023,herding behaviour
99,2023,S&P 500
100,2023,matroid intersection
100,2023,tractability
100,2023,rank sum oracle
100,2023,common independence oracle
100,2023,maximum rank oracle
101,2023,~Multiple sclerosis
101,2023,deep neural networks
101,2023,DNN acoustic models
101,2023,phonetic posteriors
102,2022,Multiple myeloma
102,2022,direct costs
102,2022,indirect costs
102,2022,treatment costs
102,2022,economic burden
102,2022,health economic modeling
102,2022,literature review
102,2022,patient
102,2022,patient burden
103,2023,anti-Gypsyism
103,2023,moral inclusion
103,2023,political discourse
103,2023,Roma
103,2023,donations
103,2023,collective action
104,2023,B-cell
104,2023,CR1 receptors
104,2023,house dust mites
105,2022,transmission modes
105,2022,contact network
105,2022,pathogen evolution
105,2022,network structure
105,2022,animal behaviour
106,2022,Adaptive gene combination
106,2022,Biased gene conversion
106,2022,Crossover
106,2022,Deletion
106,2022,DNA double-strand break
106,2022,Genome size
106,2022,Group selection
106,2022,Individual advantage
106,2022,Insertion
106,2022,Origin of sex
106,2022,Meiotic recombination
106,2022,Selfish DNA
107,2023,major depressive disorder
107,2023,CLDN5
107,2023,IL6
107,2023,blood-brain barrier
107,2023,biomarker
108,2022,drug persistence
108,2022,predictors
108,2022,superiority
108,2022,ustekinumab
108,2022,vedolizumab
109,2022,Pseudomonas aeruginosa
109,2022,lectin
109,2022,fucosylated lactose
109,2022,multivalency
109,2022,saturation transfer difference NMR
110,2022,myotonic dystrophy
110,2022,stroke
110,2022,arrhythmia
111,2022,publications
111,2022,h-index
111,2022,citation
111,2022,article rank
111,2022,basic research
111,2022,scientific output
111,2022,Q1
111,2022,internationalization
111,2022,scientometrics
112,2022,body size variation
112,2022,in vivo measurements
112,2022,insect population
112,2022,mark-recapture
112,2022,natural long-term study
112,2022,phenotypic senescence
113,2022,multifractal
113,2022,functional connectivity
113,2022,brain networks
113,2022,electroencephalogram
113,2022,Parkinson's disease
114,2023,Permanent magnet motor
114,2023,BH curve
114,2023,Silicone steel
114,2023,Battery electric vehicle
115,2023,cognitive disability
115,2023,disenfranchisement
115,2023,persistent non-participation
115,2023,political care
115,2023,political equality
115,2023,supported decision-making
116,2022,CMS
116,2022,Higgs
116,2022,BSM
116,2022,2HDM
117,2022,Diversity
117,2022,Species composition
117,2022,Land use
117,2022,Cropland
117,2022,Vegetation structure
117,2022,Secondary habitats
118,2022,Candida auris
118,2022,FIC index
118,2022,Bliss independence model
118,2022,combination
118,2022,synergy
118,2022,LIVE
118,2022,DEAD
118,2022,echinocandin resistance
119,2022,East Asian-Australasian migratory flyway
119,2022,Lake Baikal
119,2022,Passerine migration
119,2022,Songbirds
120,2022,vehicle-routing problem
120,2022,evolutionary computation
120,2022,genetic algorithm
120,2022,bacterial memetic algorithm
121,2022,ACE inhibitors
121,2022,lisinopril
121,2022,enalapril
121,2022,cognitive tests
122,2022,Cyclic fields
122,2022,Diophantine equations
123,2022,planets and satellites: detection
123,2022,planets and satellites: fundamental parameters
123,2022,instrumentation: photometers
123,2022,instrumentation: spectrographs
123,2022,methods: data analysis
124,2023,Submodular maximization
124,2023,Analysis of algorithms
124,2023,Randomized Greedy
124,2023,Matroid constraints
125,2022,Sulfite oxidase
125,2022,Molybdenum cofactor
125,2022,Cystathionine ?-lyase
125,2022,Cystathionine ?-synthase
125,2022,Sulfide
125,2022,quinone oxidoreductase
125,2022,Persulfide dioxygenase
126,2022,Allograft transplantation
126,2022,cartilage repair
126,2022,chondrocyte survival
126,2022,massive osteochondral defect
127,2022,Desertification
127,2022,Multiple linear regression model
127,2022,Remote sensing
127,2022,Soil salinization
127,2022,The shiyang river basin
128,2023,Anti-commutative algebra
128,2023,Binary Lie algebra
128,2023,Extension
128,2023,Semidirect product
128,2023,Weak isomorphism
128,2023,Automorphism group
129,2022,COVID-19
129,2022,rheumatoid arthritis
129,2022,antibody response
129,2022,T-cell response
129,2022,vaccination
129,2022,DMARD (disease-modifying antirheumatic drug treatment)
129,2022,targeted therapy
130,2022,autophagy
130,2022,xenophagy
130,2022,Drosophila
130,2022,Wolbachia
130,2022,wolbophagy
131,2022,Montmorillonite
131,2022,Sn incorporation
131,2022,Structural changes
131,2022,Pertechnetate removal
131,2022,Radioactive waste management
132,2022,rheumatoid arthritis
132,2022,tofacitinib
132,2022,JAK inhibitors
132,2022,lipids
132,2022,adipokines
133,2022,Arithmetic progressions
133,2022,Powers
133,2022,l-th powers
134,2023,Paleogene volcanism
134,2023,Karst bauxite
134,2023,Provenance
134,2023,Palaeogeography
134,2023,U-Pb geochronology
134,2023,Transdanubian range
135,2022,Culture
135,2022,Obedience
135,2022,Motivation
135,2022,Junior Generation
135,2022,Family Employee
135,2022,Turnover Intention
135,2022,PLS-SEM
136,2022,aggrecan
136,2022,cornea
136,2022,extracellular matrix
136,2022,Fuchs' dystrophy
136,2022,marilin-2
136,2022,pseudophakic bullous keratopathy
136,2022,tenascin-C
137,2023,Suzuki coupling
137,2023,Sonogashira coupling
137,2023,heterogeneous palladium catalyst
137,2023,3-arylbenzofurans
137,2023,3-alkynylbenzofurans
138,2022,managed entry agreement
138,2022,reimbursement
138,2022,pricing
138,2022,value-based pricing
138,2022,health technology assessment
138,2022,pay-for-performance
138,2022,outcome-based agreement
138,2022,outcome-based reimbursement
139,2022,self-exclusion
139,2022,gambling
139,2022,harm
139,2022,responsible gambling
139,2022,public health
139,2022,legal regulations
140,2022,COVID-19
140,2022,Adolescence
140,2022,Emotion regulation
140,2022,DERS
140,2022,Pubertal maturation
140,2022,Bone age
141,2022,Polymyositis
141,2022,Dermatomyositis
141,2022,Echocardiography
141,2022,Tissue Doppler imaging
141,2022,Cardiac involvement
142,2022,bilateral pedicle screws
142,2022,finite element analysis
142,2022,internal fixation
142,2022,lumbar spine
142,2022,spinal biomechanics
143,2022,economic evaluation
143,2022,health technology assessment
143,2022,Jordan
143,2022,pricing
143,2022,reimbursement
144,2022,Left ventricular assist device
144,2022,Heart failure
144,2022,Cardiogenic shock
145,2022,industrial robot
145,2022,digital twin
145,2022,hmi
145,2022,CPS Lab
145,2022,industry 4
145,2022,0
145,2022,Unreal Engine
146,2022,papillary renal cell carcinoma
146,2022,mTOR
146,2022,metabolism
146,2022,in situ expression and in vitro studies
147,2022,Prostheticjointinfection
147,2022,Two-stagerevision
147,2022,Rifampicinresistance
147,2022,Type2diabetesmellitus
147,2022,Recoveryrates
147,2022,Riskfactors
148,2022,K-Ras
148,2022,molecular dynamics
148,2022,NMR spectroscopy
148,2022,ras cycle
148,2022,slow dynamics
149,2022,DNA transposon
149,2022,piggyBac
149,2022,PGBD
149,2022,intrinsically disordered protein
150,2022,change blindness
150,2022,visual mismatch negativity (vMMN)
150,2022,flicker paradigm
150,2022,oddball paradigm
150,2022,event-related potential (ERP)
151,2022,Children
151,2022,Parents
151,2022,Physical activity
151,2022,Sedentary behaviour
151,2022,Dietary behaviours
151,2022,Vulnerable
152,2022,obstructive sleep apnea
152,2022,twin study
152,2022,MR imaging
152,2022,heritability
152,2022,apnea
152,2022,anatomy
153,2022,obesity
153,2022,intrapartum
153,2022,fetal monitoring
153,2022,perinatology
154,2023,Central retinal vein occlusion
154,2023,Covid-19
154,2023,mRNA vaccine
154,2023,thromboembolism
154,2023,VIPIT
155,2023,Doping
155,2023,Hematite
155,2023,Magnetic properties
155,2023,Mossbauer effect
155,2023,Photocatalysis
155,2023,Photoelectrochemistry
156,2022,MUSCLE DISEASE
156,2022,GENETICS
156,2022,MYOPATHY
156,2022,INCL BODY MYOSITIS
156,2022,FRONTOTEMPORAL DEMENTIA
157,2022,Kuiper belt objects: individual: 2003 VS2
157,2022,methods: observational
157,2022,techniques: photometric
158,2022,High-performance thin-layer
158,2022,chromatography - effect-directed analysis
158,2022,chromatography &ndash
158,2022,MS < sup > n <
158,2022,sup >
158,2022,HPTLC &ndash
158,2022,< italic > Rhodococcus fascians <
158,2022,italic >
158,2022,Giant goldenrod( Solidago gigantea Ait
158,2022,)
158,2022,Antibacterial clerodane diterpenes
159,2022,Need to belong
159,2022,Attachment anxiety
159,2022,Need for relationship security
159,2022,Benevolent sexism
160,2022,Complex regional pain syndrome
160,2022,Passive transfer-trauma mouse model
160,2022,Unbiased transcriptome profiling of the dorsal root ganglia
160,2022,Neuroinflammation
161,2022,anterograde labeling
161,2022,bouton
161,2022,convergence
161,2022,multivariate analysis
161,2022,squirrel monkey
162,2022,Electroweak Interaction
162,2022,Forward Physics
162,2022,Hadron-Hadron Scattering
162,2022,Particle and Resonance Production
163,2022,Visual evoked potentials
163,2022,Visual acuity estimation
163,2022,Sweep VEP
163,2022,Stimulator
163,2022,LCD
163,2022,CRT
163,2022,Monitor
164,2022,cysteine string protein alpha
164,2022,pre-synapse
164,2022,dystrophy
164,2022,amyloid plaque
164,2022,Alzheimer's disease
165,2022,ovarian cancer
165,2022,peritoneal carcinomatosis
165,2022,cytoreductive surgery
165,2022,HIPEC
165,2022,HIPEC duration
166,2022,Query complexity
166,2022,Tarski fixed points
166,2022,total function problem
167,2022,Athletes
167,2022,Exercise-induced cardiomegaly
167,2022,Aging
167,2022,Echocardiography
167,2022,Hypertension
168,2022,Mindfulness
168,2022,children
168,2022,development
168,2022,content analysis
168,2022,components
168,2022,practice
168,2022,activities
168,2022,MBIs
169,2022,cardiac surgery
169,2022,frailty
169,2022,nutritional status
170,2022,Candida albicans
170,2022,Surfactin
170,2022,Probiotics
170,2022,Transcriptomics
170,2022,Metal
170,2022,Bacillus subtilis
171,2022,Animal ethics
171,2022,Animal experiments
171,2022,Ethics review
171,2022,Human ethics
171,2022,Invasive procedures
172,2022,acute stroke
172,2022,alteplase
172,2022,COVID-19
172,2022,personal protective equipment
172,2022,physical examination
173,2022,FINEMET
173,2022,swift heavy ion irradiation
173,2022,Fe-57 transmission and conversion electron Mossbauer spectroscopy
173,2022,magnetic anisotropy
174,2022,lognormal distribution
174,2022,log-series distribution
174,2022,Palaearctic grassland
174,2022,plant cover
174,2022,spatial scaling
174,2022,species abundance
174,2022,Weibull distribution
175,2023,Hippocampus
175,2023,Memory
175,2023,Odd beliefs
175,2023,Pattern completion
175,2023,Pattern separation
176,2022,Systemic lupus erythematosus
176,2022,Hungary
176,2022,comorbidities
176,2022,Depression
176,2022,Anxiety
177,2023,Trianon
177,2023,Holocaust
177,2023,modes of remembering
177,2023,LDA topic modelling
177,2023,discursive framing
178,2022,rheumatoid arthritis
178,2022,tocilizumab
178,2022,monotherapy
178,2022,subcutaneous
178,2022,steroid
178,2022,DAS28
178,2022,clinical activity index
179,2022,spondyloarthritis
179,2022,contextual factors
179,2022,outcome research
180,2022,microencapsulation
180,2022,chitosan
180,2022,alginate
180,2022,probiotic
180,2022,Lactobacillus
181,2022,vaccines
181,2022,politics
181,2022,Hungary
181,2022,Thailand
181,2022,culture
182,2022,Brain perfusion
182,2022,SPECT
182,2022,Multi-pinhole collimator
182,2022,Reconstruction
182,2022,Image quality
183,2022,Agaricales
183,2022,Conservation
183,2022,Endangered grassland communities
183,2022,Entolomataceae semi-cryptic diversity
183,2022,Taxonomy
183,2022,Tricholomatinae
184,2022,quasi-arithmetic mean
184,2022,Bajraktarevie mean
184,2022,invariance equation
185,2022,Chiral HPLC
185,2022,Mode dedication
185,2022,Regeneration of chiral stationary phases
185,2022,Eluent history
185,2022,Hindered structural transition
186,2022,Left ventricular assist device
186,2022,driveline infection
186,2022,Jarvik 2000
186,2022,complication
186,2022,trauma
187,2022,EQ-5D
187,2022,Bolt-on
187,2022,Psoriasis
187,2022,EQ-PSO
187,2022,Qualitative research
188,2022,incentive sensitization
188,2022,impulsivity
188,2022,reward deficiency
188,2022,problem behavior
188,2022,substance misuse
189,2022,Surgical flaps
189,2022,Postoperative complications
189,2022,Reconstructive surgery
189,2022,Head and neck
189,2022,Indocyanine green
189,2022,Fluorescence-angiography
190,2022,Asia
190,2022,coronary artery calcium
190,2022,coronary artery disease
190,2022,coronary computed tomography angiography
190,2022,pretest probability
190,2022,risk assessment
191,2022,Pain sensitivity
191,2022,Pain catastrophizing
191,2022,Fear of pain
191,2022,Environmental unpredictability
191,2022,Early life experiences
192,2022,Badminton shoes
192,2022,Questionnaire
192,2022,Gender
192,2022,Function
192,2022,Foot injuries
192,2022,Footwear
193,2022,geofluids
193,2022,system approach
193,2022,groundwater flow system
193,2022,geothermal energy
193,2022,hydrothermal minerals
193,2022,workflow
194,2022,localised corrosion
194,2022,coatings
194,2022,cut edge
194,2022,galvanized steel
194,2022,scanning vibrating electrode technique
194,2022,scanning electrochemical microscopy
194,2022,micro-potentiometry
194,2022,ion-selective microelectrodes
194,2022,galvanic couple
195,2022,hydrodynamics
195,2022,viscosity
195,2022,exact solutions
195,2022,speed of sound
196,2022,aorta
196,2022,dissection
196,2022,TEVAR
196,2022,stent graft
196,2022,survival
197,2022,maize
197,2022,drought-tolerance
197,2022,correlation
197,2022,graphic analysis
197,2022,drought stress
198,2022,urban air quality
198,2022,particle number concentration
198,2022,size distribution
198,2022,new particle formation
198,2022,nucleation strength factor
199,2022,Acetamide
199,2022,Adsorption on ice
199,2022,grand canonical Monte Carlo simulation
199,2022,Tropospheric conditions
199,2022,Amorphous and crystalline ices
200,2022,Reichardt's dye
200,2022,Poly(diallyldimethylammonium chloride)
200,2022,Saponite
200,2022,UV-Vis spectroscopy
200,2022,Fluorescence spectroscopy
201,2022,Gender differences
201,2022,Supervisory feedback
201,2022,Non-cognitive traits
202,2022,CAR-T cells
202,2022,Immunotherapy
202,2022,Silicon nanowires
202,2022,Field-effect transistor
202,2022,Cancer
202,2022,Nanosensor
203,2022,Hungary
203,2022,penal populism
203,2022,policy making
203,2022,criminal legislation
204,2022,Laboulbeniales
204,2022,Basidiomycetes
204,2022,phylogeny
204,2022,new species
205,2022,chorological spectrum
205,2022,permanent plots
205,2022,protected grassland
205,2022,Raunkiaer's life-forms
205,2022,Shannon diversity
205,2022,species turnover
205,2022,vegetation turnover
206,2022,atherosclerosis
206,2022,computed tomography angiography
206,2022,coronary angiography
206,2022,coronary artery disease
206,2022,prevalence
207,2022,Hereditary angioedema
207,2022,C1-inhibitor
207,2022,diagnosis
207,2022,GRADE therapy
207,2022,management
207,2022,disease control
207,2022,DELPHI
207,2022,guideline
207,2022,prophylaxis
207,2022,quality of life
207,2022,recommendations
207,2022,self-administration
208,2022,Severe plastic deformation
208,2022,Wear
208,2022,Microhardness
208,2022,Scanning electron microscopy
209,2022,blebbing of nuclear membrane
209,2022,bursa of Fabricius
209,2022,formation of granular endoplasmic reticulum
209,2022,inner structure of mitochondrion
209,2022,mesenchymal reticular cell
210,2022,adaptation
210,2022,Bayesian inference
210,2022,graphical models
